,country,category,item_names,item_prices_local_curr,item_prices_usd,categoria_propia
34,Australia,Personal Care,"1 box of 32 tampons (tampax, ob, ...)",8.0,5.3,Cuidado personal
35,Australia,Personal Care,"Deodorant, roll-on (50ml ~ 1.5 oz.)",7.0,4.38,Cuidado personal
36,Australia,Personal Care,Hair shampoo 2-in-1 (400 ml ~ 12 oz.),9.0,5.93,Cuidado personal
37,Australia,Personal Care,4 rolls of toilet paper,4.72,3.09,Cuidado personal
38,Australia,Personal Care,Tube of toothpaste,4.56,2.98,Cuidado personal
39,Australia,Personal Care,Standard men's haircut in expat area of the city,37.0,24.0,Cuidado personal
40,Australia,Entertainment,Basic dinner out for two in neighborhood pub,71.0,46.0,Restaurantes
41,Australia,Entertainment,2 tickets to the movies,47.0,30.0,Ocio
42,Australia,Entertainment,2 tickets to the theater (best available seats),266.0,174.0,Ocio
43,Australia,Entertainment,"Dinner for two at an italian restaurant in the expat area including appetisers, main course, wine and dessert",129.0,85.0,Restaurantes
44,Australia,Entertainment,1 cocktail drink in downtown club,21.0,14.0,Restaurantes
45,Australia,Entertainment,Cappuccino in expat area of the city,5.19,3.39,Restaurantes
46,Australia,Entertainment,1 beer in neighbourhood pub (500ml or 1pt.),11.0,7.0,Restaurantes
47,Australia,Entertainment,Ipad wi-fi 128gb,937.0,612.0,Comunicaciones
48,Australia,Entertainment,1 min. of prepaid mobile tariff (no discounts or plans),0.69,0.45,Comunicaciones
49,Australia,Entertainment,1 month of gym membership in business district,90.0,59.0,Ocio
50,Australia,Entertainment,1 package of marlboro cigarettes,47.0,31.0,"Alimentos, bebidas y tabaco"
0,Austria,Food,Basic lunchtime menu (including a drink) in the business district,19.0,21.0,Restaurantes
1,Austria,Food,Combo meal in fast food restaurant (big mac meal or similar),11.0,12.0,Restaurantes
2,Austria,Food,500 gr (1 lb.) of boneless chicken breast,7.0,7.0,"Alimentos, bebidas y tabaco"
3,Austria,Food,1 liter (1 qt.) of whole fat milk,1.42,1.56,"Alimentos, bebidas y tabaco"
4,Austria,Food,"12 eggs, large",5.16,5.64,"Alimentos, bebidas y tabaco"
5,Austria,Food,1 kg (2 lb.) of tomatoes,4.55,4.97,"Alimentos, bebidas y tabaco"
6,Austria,Food,500 gr (16 oz.) of local cheese,7.0,8.0,"Alimentos, bebidas y tabaco"
7,Austria,Food,1 kg (2 lb.) of apples,2.29,2.5,"Alimentos, bebidas y tabaco"
8,Austria,Food,1 kg (2 lb.) of potatoes,2.37,2.59,"Alimentos, bebidas y tabaco"
9,Austria,Food,0.5 l (16 oz) domestic beer in the supermarket,1.19,1.3,"Alimentos, bebidas y tabaco"
10,Austria,Food,"1 bottle of red table wine, good quality",7.0,8.0,"Alimentos, bebidas y tabaco"
11,Austria,Food,2 liters of coca-cola,3.17,3.47,"Alimentos, bebidas y tabaco"
12,Austria,Food,Bread for 2 people for 1 day,1.88,2.05,"Alimentos, bebidas y tabaco"
13,Austria,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in expensive area,1645.0,1797.0,Alquiler
14,Austria,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in normal area,1175.0,1284.0,Alquiler
